Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"CARTER NEWELL LAWYERS",64436,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CORPORATE TYRE SOLUTIONS",64339,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSTRALIAN DIVERSIFIED ENGIN.",63951,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ISIR SEATS MACKAY",63196,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WATER TREATMENT SERVICES PTY L",62998,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RP INFRASTRUCTURE PTY LTD",62978,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PJAM TRADING PTY LTD",62554,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DAVID & FAITH MARTIN",61510,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AMALGAMATED PEST CONTROL",60769,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MARSH PTY LTD",60678,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EMF SERVICES PTY LTD",58658,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALLIANCE SAFETY EQUIPMENT",58373,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DAWSONS ENGINEERING NQ",58042,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FUELFIX P/L",57057,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BFP TOWNSVILLE",56882,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GREAT NORTHERN PLUMBING SER",56088,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"M-TEST (MACKAY) PTY LTD",55966,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CR KENNEDY & COMPANY PTY LTD",55894,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FAMILY DOCTORS PLUS",55380,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FLEXIHIRE PTY LTD",55155,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WINC AUSTRALIA PTY LTD",55070,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RD WILLIAMS EXCAVATOR PARTS PL",54351,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GOLD CITY MINI BINS",54080,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NUTAVA PTY LTD",54000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WORKSAFE CONNECT",53800,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RAMESYS GLOBAL",52904,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ADT SECURITY",52893,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FILQUIP PTY LIMITED",52250,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"INDUSTRIAL PRECISION INSTRUMEN",52185,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSPRESS SYSTEMS PTY LTD",52101,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KIMBAH INDUSTRIAL PTY LTD",52041,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AGE CONSULTANTS",51618,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"INFO-TECH RESEARCH GROUP P/L",51500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DREGHORN CATTLE CO",51200,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SUPERIOR MINE MAINTENANCE",48993,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GLAS",48963,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TALISMAN EDGE PTY LTD",48621,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KELAIR PUMPS AUSTRALIA PTY LTD",47894,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TELSTRA CORP. LTD",47567,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TYRE DOCTOR TRADING PTY LTD",47497,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ASSOC. OF MINING & EXPL. CO.",47400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BSC GLOBAL AUSTRALIA PTY LTD",46490,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QLD GOV OFFICE OF STATE REV.",46399,EXCLUDED,—,0.000,0.0,"State revenue. No emission"
"EFTSURE PTY LTD",46365,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ATLAS COPCO COMPRESSORS",46162,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MCCATHIE'S FURNITURE PLUS",46131,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PRODUCTIVITY DEVELOPMENT SOLUT",44650,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PTH GLOBAL PTY LTD",44320,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KERAMOS PTY LTD",44190,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FOWLEREX TECHNOLOGIES PTY LTD",44000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TRI AUSTRALASIA PTY LTD",43926,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PREMIER CONVEYOR SOLUTIONS",43636,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GENELITE PTY LTD",43584,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SYNTECHTRON P/L",41932,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NUNNIE BURRA LTD",41445,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"STEEL SUPPLIES CHARTERS TOWERS",41439,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DJB TOWING",40638,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JAMES COOK UNIVERSITY",40449,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALIDADE SERVICES PTY LTD",40338,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BLUESCOPE DISTRIBUTION",40262,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"INDCO PTY LTD",39835,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SOUTHERIN CROSS INDUSTRIAL",39328,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ACOR CONSULTANTS PTY LTD",38600,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOSTON RESOURCING P/L",38340,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JAQUES AUSTRALIA",38280,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"APPLIED INDUSTRIAL TECH P/L",38236,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENDRESS+HAUSER AUSTRALIA PL",37746,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHRIS IVES SIGNS",37544,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"STEINERT AUSTRALIA PTY LTD",37010,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE AIRLESS & PRESSURE",35824,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALL-RIG LIFTING & ENGINEERING",35650,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NATIONAL PLASTICS & RUBBER",35535,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ENGENY AUSTRALIA PTY LTD",35500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NI (TOWNSVILLE) PTY LTD",35200,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DRIVELINE SERVICES AUST. P/L",35059,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"5ACCEL PTY LTD",34931,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOLTMASTERS",34793,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SOVTECH PTY LTD",34504,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALLSHELTER PTY LTD",34280,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEXTDC LIMITED",34108,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALAN ANDREWS",34000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JENAGAR PTY LTD",33469,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ORESOME PRODUCTS PTH LTD",32095,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KEYFLO PACIFIC P/L",32068,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SEAM SURVEYS PTY LTD",31600,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TRINITY CONSULTANTS AUSTRALIA",30925,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GHD PTY LTD",30671,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GEKKO SYSTEMS PTY LTD",30622,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CQMS RAZER PTY",30548,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RAPID7 INTERNATIONAL LTD",30280,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WULGURU UNITED  FOOTBALL CLUB",30000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ASAP QLD P/L",29865,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CLEVELAND BAY CHEMICAL COMPANY",29732,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"UNITED RENTALS COMPANY",29292,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PRO-DRAULICS",29205,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSCO MODULAR PTY LTD",28814,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MULTOTEC PTY LTD",28448,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALFA LAVAL AUSTRALIA P/L",27998,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BENTLEY SYSTEMS INTERNATIONAL",27960,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TONKIN STEEL P/L",27955,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JTS TRANSPORT AUSTRALIA",27581,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BEAVER PROCESS EQUIPMENT OPERA",27152,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SPX FLOW TECHNOLOGY",26990,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"7 DAY HIRE CONTRACTING PTY LTD",26712,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BURDEKIN COMMUNICATIONS",26581,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CTL MEDICAL SERVICES",26189,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MATES IN MINING",25740,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"REDMAP PTY LTD",25412,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SEEK LIMITED",25229,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FORKS 4 U PTY LTD",24738,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORTHERN PATHOLOGY TOWNSVILLE",24579,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SAFETY WISE SOLUTIONS PTY LTD",24501,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"APEX ENVIROCARE",24500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LIQUIP SALES NQ",24390,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PWS HUNT BOILERS",24271,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MM ELECTRICAL MERCHANDISING",24253,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ONSITE TRAINING AUSTRALIA",24050,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MIRA GEOSCIENCE ASIA PACIFIC",24009,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RCR MINING TECHNOLOGIES PL",23844,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"POLO CITRUS AUSTRALIA PTY LTD",23780,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FROMBLE CORP PTY LTD",23709,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HETHERINGTON EXP&MINING P/L",23284,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PROCESS ANALYTICAL SYSTEMS PL",22881,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TWOSA CONSULTING PRIVATE LTD",22536,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WESTERNEX SUPPLY",22400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AON ADVISORY AUSTRALIA PTY LTD",22153,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JAWS BUCKETS & ATTACHMENTS P/L",21906,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SEW EURODRIVE PTY LTD",21603,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TERRA SOLUTIONS PTY LTD",21576,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DM GROUP OF COMPANIES",21450,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LMATS PTY LTD",21240,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DTN APAC PTY LTD",21203,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MITEZ INC",21000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DUAL VALVES AUSTRALASIA PL",20430,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SMC CORP (AUSTRALIA) P/L",20291,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ROYAL FLYING DOCTOR SERVICE",20000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MAPTEK PTY LTD",19890,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DRYCORP GROUP PTY LTD",19800,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CQ FIELD MINING SERVICES P/L",19583,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OWEN PAUL FERGUSON",19387,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ELITE METAL CRAFT",19288,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SANDVIK ROCK PROCESSING AUST",19124,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HEAT SYSTEMS GROUP P/L",18850,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CGG SERVICES (AUSTRALIA) P/L",18800,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AMAPRODUCTS PTY LTD",18564,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSSIE BROADBAND LIMITED",18391,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RB COMMUNICATIONS P/L",18362,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWER CANVAS",18320,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CONTITECH AUSTRALIA PTY LTD",18110,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QUEENSLAND X-RAY SERVICES",18097,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RSM AUSTRALIA PTY LTD",18033,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ATCO STRUCTURES & LOGISTICS",17621,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOUNCE COFFEE COMPANY",17552,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AQUALAB SCIENTIFIC P/L",17535,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JODRELL PLANT & EQUIPMENT",17483,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SPLIT SET MINING SYSTEMS",17360,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WEDCON PTY LTD",17218,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOLDSIDECONSULTING P/L",17000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GREENBASE PTY LTD",16920,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MAPIEN PTY LTD",16780,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COMBUSTION & CHEMICAL ENG P/L",16640,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FVS FIRE PTY LTD",16483,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SAFETY & EMERGENCY TRAINING",16350,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WESTWATER ENTERPRISES P/L",16249,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NEPEAN POWER PTY LTD",16104,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NOW OFFICE PTY LTD",16024,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FIRSTIN PHYSIO PTY LTD",15960,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KEWAN BOND PTY LTD",15930,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SONIC HEALTHPLUS P/L",15834,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RICHMOND ROLLING SOLUTIONS",15750,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"STRATEX PTY LTD",15452,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHUBB FIRE & SAFETY P/L",15346,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SEYFARTH SHAW AUSTRALIA",15225,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DFC 1 PTY LTD",15000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LIFE FITNESS AUSTRALIA",14981,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ECOTECH PTY LTD",14886,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COMPLETE TYRE MGMT SERVICES",14750,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ARCHIMEDES CO P/L",14337,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KOMATSU AUSTRALIA P/L",14180,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TURNER AUTO ELECTRICAL P/L",14061,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PCS DYNAMICS PTY.LTD.",14030,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ISADRAULICS PTY LTD",13684,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HYDROBIOLOGY QLD P/L",13410,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LIEBHERR-AUSTRALIA PTY LTD",13385,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WATER EQUIP PTY LTD",13283,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ALS METALLURGY P/L",13068,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OPSM PTY LTD",12890,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWNSVILLE ENTERPRISE LIMITED",12709,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"QUIK-DIG PTY LTD",12606,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TEI SERVICES P/L",12300,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HACH PACIFIC PTY LTD",12190,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OIL SOLUTIONS N.Q",12161,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"THE GOUGH FAMILY TRUST",12040,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SYNERGY IA PTY LTD",12000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LUKE GELDARD PRODUCTIONS",11850,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORQUIP HIRE",11619,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ACCUTHERM INTERNATIONAL P/L",11445,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NICHE ENVIRONMENT& HERITAGE",11166,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ANALYTICAL SOLUTIONS AUSTRALIA",11158,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RAVENSWOOD POST OFFICE STORE",11152,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BUNNINGS GROUP LIMITED",11089,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AIRCONDITIONING DIRECT",11027,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KLEER COLD ROOM HIRE P/L",10800,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"REMOTE CONTROL TECH P/L",10760,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EQUIFAX PTY LIMITED",10724,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"INFRABUILD TRADING PTY LTD",10634,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VOCUS PTY LTD",10149,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BULK HANDLING AUSTRALIA GROUP",10128,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BLACKHEATH & THORNBURGH PARENT",10000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHARTERS TOWERS RUGBY LEAGUE",10000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FUEL FOR SCHOOLS LTD",10000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AVK FLOW CONTROL PTY LTD",9990,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"IN FRONT WILD DOG MANAGEMENT",9703,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HAOMA MINING NL",9655,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SJH HEAVY HAULAGE P/L",9615,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FITNESS EQUIPMENT FINANCE P/L",9610,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOUCHPOINT TECHNOLOGY",9488,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EMH SERVICES PTY LTD",9462,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ABC SALES & MAINTENANCE",9349,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PURE GOLD FILMS PTY LTD",9260,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JR'S FOAM & RUBBER P/L",9135,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GRADASH PTY LTD",9124,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCAN TECH 3D P/L",9060,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EMPIRE OFFICE FURNITURE",8924,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ATOM SUPPLY",8916,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TANKS DIRECT",8468,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MINERAL PROCESS CONTROL PTY LT",8448,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TICS PTY LTD",8247,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JOHN B MEDICAL P/L",8234,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ASPERMONT LIMITED",8200,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HYDROTERRA PTY LTD",8100,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SCHOOL OF RIGGING",8000,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"EMG SITE SERVICES PTY LTD",7810,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TEFOL NORTH QLD PTY LTD",7786,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PMD PROCESS CONTROLS",7730,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ADVANCED INDUSTRY TRAINING",7600,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FIRST RESPONSE AUSTRALIA PL",7485,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PETER MOORE",7426,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ELLSLEY DO NOT USE SEE ELL002",7400,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ISCOPE4REPAIR P/L",7220,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ROCSCIENCE INC.",7197,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OMNI-TUFF GROUP T/A DAYWALK",7168,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AUSTRALASIA SCALES P/L",6806,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DYNAMIC ENGINEERING AUSTRALIA",6775,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COLLEEN FERNANDEZ",6750,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NCS AU PTY LTD",6720,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MOBILE ID CARDS",6588,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VULCANIC TEE PL",6576,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHARTERS TOWERS VETERINARY",6523,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GARDNER DENVER INDUSTRIES P/L",6511,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RISK MANAGEMENT TECHNOLOGIES",6503,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TOWERS CONCRETE P/L",6500,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JD & CM WILLIS",6430,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"OFFICEWORKS PTY LTD",6324,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WORKHAB INTERNATIONAL",6136,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"NORTHERN PLASTIC SUPPLIES",6070,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"WILD GRAVITY",6069,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BUDGET TRAILERS",5944,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
