Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"H-E PARTS INTERNATIONAL CRUSHI",913778,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"STATEWIDE BEARINGS",887694,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ORIGIN ENERGY",886164,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BCM FABRICATION PTY LTD",868280,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHRYSOS CORPORATION LIMITED",866823,SERVICE,532412,0.106,57.8,"Photon assay rental"
"JAYSEL ELEC. & INSTRUMENTATION",852539,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HAYCARB HOLDINGS (AUST) PTY LT",830125,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KING AND WOOD MALLESONS",827640,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PIT MINING PTY LTD",823628,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ARGO MAINT & CONSTRUCTION",775175,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BRITRAC (AUS) P/L",757958,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GPR CONTRACTORS PTY LTD",749565,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MOTION AUSTRALIA PTY LTD",714249,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"HAYS SPECIALIST RECRUIT.  P/L",654475,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"COATES HIRE OPERATIONS PTY LTD",651342,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"ERGON ENERGY QUEENSLAND",631048,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GDS (NQ) PTY LTD",609662,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DESWIK MINING CONSULTANTS P/L",591118,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DGH DESIGN & FABRICATION SERV",576489,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MIKE CARNEY TOYOTA",575286,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AXTER AUSTRALIA PTY LTD",572201,UNCLASSIFIED,—,0.000,0.0,"TSF liner"
"TOYOTA FLEET MANAGEMENT",568292,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CUSTOM STEEL FAB PTY LTD",535728,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MINPROVISE INTERNATIONAL P/L",531708,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CHATFIELD ENTERPRISE P/L",528715,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"POWERTX PTY LTD",518564,CAPITAL,335313,0.153,49.9,"MCC built offsite"
"ERNST & YOUNG",502498,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KJ'S MINING AND ENGINEERING",476826,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"JETT INDUSTRIAL SUPPLIES",458537,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"URETHANE MANUFACTURERS",458276,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"SNF (AUSTRALIA) P/L",451470,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"TRT (2021) PTY LIMITED",446197,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"AARC ENVIRONMENTAL SOLN. P/L",423227,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"DATAMINE AUSTRALIA PTY LTD",416655,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"VESUVIAN P/L T/A  AGILITUS QLD",413405,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"CAMM QUARRIES PTY LTD",398066,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
