Date,Activity,SubActivity,Description,Department,CostCentre,State,UOM,Quantity,Source,Identifier
1/1/2022,Combustion,Acetylene,Acetylene industrial size G 7.0m3,Mining Open Pit,Projects and Work Orders,QLD,m3,42.0,INV03,100192
1/1/2022,Combustion,Acetylene,Acetylene technical grade 99% size G,Mining Open Pit,Projects and Work Orders,QLD,m3,28.0,INV03,102260
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Light Vehicles,QLD,kL,8.3864,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Operations Administration,QLD,kL,2.5096,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Environment & Community,Environment,QLD,kL,0.087,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Exploration & Development,Exploration and Development,QLD,kL,10.483,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Geology,Grade Control,QLD,kL,1.3035,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Blasting,QLD,kL,16.3324,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Drilling - Production,QLD,kL,122.2266,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Geotechnical,QLD,kL,24.1169,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Hauling,QLD,kL,831.8461,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Loading,QLD,kL,289.2231,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Management Services,QLD,kL,2.0259,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Mobile Equipment,QLD,kL,211.0368,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Projects and Work Orders,QLD,kL,187.3841,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Rehandling,QLD,kL,158.108,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Fixed,QLD,kL,56.3842,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Supplemental,QLD,kL,8.6442,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Milling,QLD,kL,5.4162,INV03,103206
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Tailings Disposal,QLD,kL,0.5416,INV03,103206
1/1/2022,Combustion,LPG,Propane Handigas 45kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0882,INV03,121352
1/1/2022,Combustion,LPG,Propane LPG bulk delivery,Processing,Gold Room,QLD,kL,20.0385,INV03,103570
1/1/2022,Combustion,Lubricants,Coolant antifreeze HD Premium N Cool 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,4.0,INV03,120407
1/1/2022,Combustion,Lubricants,Cutting fluid Ultracut Clear 370 drum,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,101917
1/1/2022,Combustion,Lubricants,Engine oil Rimula R4 MV 15W40 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,15.0,INV03,124779
1/1/2022,Combustion,Lubricants,Gear oil 90W GL4 200L drum Hitachi,Mining Open Pit,Projects and Work Orders,QLD,kL,0.8,INV03,128162
1/1/2022,Combustion,Lubricants,Gear oil 90W GL4 IBC 1000L Hitachi,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,127210
1/1/2022,Combustion,Lubricants,Gear oil Omala S2 G 220 IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,103652
1/1/2022,Combustion,Lubricants,Gear oil Omala S2 GX 150 IBC 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,2.0,INV03,127921
1/1/2022,Combustion,Lubricants,Gear oil Omala S2 GX 220 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,101607
1/1/2022,Combustion,Lubricants,Gear oil Omala S4 GX 220 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.12,INV03,101605
1/1/2022,Combustion,Lubricants,Gear oil Omala S4 GX320 209L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.209,INV03,101036
1/1/2022,Combustion,Lubricants,Gear oil Omala S4 GXV Plus 320 20L,Mining Open Pit,Projects and Work Orders,QLD,kL,0.06,INV03,100330
1/1/2022,Combustion,Lubricants,Gear oil Spirax S2 A 85W-140 1000L Pod,Mining Open Pit,Projects and Work Orders,QLD,kL,1.0,INV03,120270
1/1/2022,Combustion,Greases,Grease Gadus S2 V220 2 C2 450g,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0054,INV03,101580
1/1/2022,Combustion,Greases,Grease Gadus S2 V220 2 D180K,Mining Open Pit,Projects and Work Orders,QLD,kL,0.8,INV03,100004
